mac,total_queries,unique_domains,domain_diversity_ratio,qtype_1_count,qtype_28_count,qtype_other_count,qtype_1_ratio,qtype_28_ratio,active_hours,active_days,time_span_seconds,time_span_hours,queries_per_hour,avg_query_interval,std_query_interval,min_query_interval,max_query_interval,median_query_interval,top_domain_frequency,top_domain_ratio,peak_hour_queries,peak_hour_ratio,domain_entropy,query_burstiness,weekend_query_ratio
78e9b89f754ae8acfab695fc4bc138b0,29130,510,0.017507723995880537,23181,5817,132,0.7957775489186406,0.19969104016477857,24,7,2107676,585.4655555555555,49.75527547877378,72.35662054996739,591.0443061701405,0.0,45570.0,0.0,4189,0.1438036388602815,5323,0.18273257809818058,6.663234793652174,8.168489651364832,0.3976656368005493
7ceaa874412e22399c9eee3597c325c8,9456,240,0.025380710659898477,5947,3494,15,0.6289128595600677,0.36950084602368866,24,7,2106108,585.03,16.16327367827291,222.7507139079852,5779.3390242818905,0.0,482149.0,0.0,640,0.0676818950930626,2734,0.28912859560067683,6.430330610837865,25.945322117662187,0.44247038917089676
827cfb595f6b4e6e92af99251070ed7f,16447,277,0.01684197726029063,11128,5215,104,0.6765975557852496,0.3170791025718976,24,7,1922663,534.0730555555556,30.79541240456596,116.90763711540801,2233.8628284192873,0.0,163900.0,0.0,1234,0.07502888064692649,2882,0.17522952514136317,6.562724483884104,19.10792899025133,0.34820939989055755
86cf2bc1494301c9ee2cab14c28fda68,654,10,0.01529051987767584,654,0,0,1.0,0.0,24,7,2186986,607.4961111111111,1.076550101372391,3349.136294027565,10133.289241759672,0.0,66891.0,0.0,446,0.6819571865443425,220,0.3363914373088685,1.6100403628886104,3.0256425394899953,0.3287461773700306
8822f1ed9a3b7aeef278e31be90e92d9,5251,725,0.13806893924966673,4107,188,956,0.7821367358598362,0.03580270424681013,18,7,1978051,549.4586111111112,9.556679782270527,376.771619047619,4389.178611042017,0.0,146111.0,0.0,268,0.05103789754332508,1567,0.2984193486954866,8.121710295606423,11.649440640292182,0.31936773947819463
8bff080084f689ff612fb5f913b1caf7,11580,863,0.07452504317789292,7165,106,4309,0.6187392055267703,0.009153713298791019,13,3,1487225,413.11805555555554,28.030728369950747,128.44157526556697,7455.794202030995,0.0,592986.0,0.0,561,0.04844559585492228,1935,0.16709844559585493,7.98437551349894,58.04813734661325,0.0
92980805b9826198b0a60ca31d4212f9,29016,983,0.03387786049076372,15198,8148,5670,0.5237799834574028,0.28081058726220015,14,6,1828467,507.9075,57.12851257364776,63.01799069446838,3606.6560443019903,0.0,354510.0,0.0,5006,0.17252550317066445,4273,0.1472635787151916,7.116328838316634,57.23216504614097,0.8064860766473669
9d8d0036846ec5b9ef719a4f68bbd76e,750,200,0.26666666666666666,685,65,0,0.9133333333333333,0.08666666666666667,4,2,693569,192.65805555555556,3.89290755498011,925.9933244325767,24858.137186300788,0.0,680326.0,0.0,124,0.16533333333333333,501,0.668,5.972204076532121,26.844834115335736,1.0
a0e4d9a422d2c1702827119de72900af,4575,272,0.059453551912568306,1792,0,2783,0.39169398907103825,0.0,24,4,276366,76.76833333333333,59.59488504374634,60.42107564494972,190.61178164775637,0.0,2102.0,0.0,387,0.08459016393442623,629,0.13748633879781422,6.399523415758064,3.1547234075712556,0.42710382513661205
a7638f9e6bf169dc2f292c3bc54d557b,109,60,0.5504587155963303,105,4,0,0.963302752293578,0.03669724770642202,1,1,227,0.06305555555555556,1728.6343612334801,2.1018518518518516,5.045475098392738,0.0,32.0,0.0,11,0.10091743119266056,109,1.0,5.527916649012704,2.4004903551824484,0.0
